order_id,region,product,units,revenue
1001,North,Widget,48,1881.94
1002,South,Widget,48,481.78
1003,North,Gizmo,28,332.46
1004,North,Widget,15,3349.11
1005,North,Gizmo,13,4691.04
1006,West,Widget,29,3286.14
1007,North,Widget,45,2822.05
1008,East,Widget,14,4790.34
1009,East,Widget,6,1961.64
1010,East,Gadget,39,1396.15
1011,North,Gizmo,30,
1012,West,Widget,36,1690.23
1013,East,Gizmo,13,3552.4
1014,North,Gizmo,15,5054.45
1015,North,Widget,7,2551.4
1016,West,Gizmo,24,986.71
1017,East,Widget,43,1408.19
1018,North,Gizmo,41,1220.15
1019,South,Widget,30,1567.47
1020,South,Gizmo,21,3383.98
1021,North,Widget,3,5258.14
1022,West,Gadget,5,1247.2
1023,East,Widget,42,2546.23
1024,West,Widget,17,862.61
1025,East,Gizmo,38,2199.33
1026,West,Gadget,15,5485.59
1027,South,Gizmo,32,436.36
1028,North,Widget,10,4126.83
1029,West,Gizmo,5,2183.9
1030,West,Gizmo,17,5344.11
1031,North,Gizmo,47,859.69
1032,East,Gizmo,22,646.61
1033,West,Widget,30,127.49
1034,East,Gizmo,49,975.39
1035,North,Gizmo,20,5491.43
1036,South,Widget,24,3069.04
1037,North,Gizmo,21,3242.42
1038,North,Gadget,20,1655.31
1039,South,Gizmo,6,415.76
1040,West,Widget,49,2981.29
1041,South,Widget,43,
1042,South,Gadget,34,3499.94
1043,West,Widget,35,4180.88
1044,South,Gizmo,20,1644.05
1045,East,Gadget,34,2312.28
1046,South,Widget,5,1405.3
1047,South,Gizmo,15,108.19
1048,North,Widget,5,5897.53
1049,East,Widget,33,1266.22
1050,West,Widget,35,823.16
1051,West,Widget,31,4462.41
1052,South,Widget,7,2663.21
1053,East,Gadget,27,2388.42
1054,North,Gizmo,42,6399.13
1055,North,Widget,26,4768.72
1056,North,Widget,13,1341.63
1057,West,Widget,28,1099.0
1058,West,Widget,5,2498.47
1059,North,Widget,42,6495.43
1060,North,Widget,49,5536.19
1061,South,Gadget,32,1966.92
1062,West,Widget,11,2152.67
1063,West,Gadget,30,1647.49
1064,West,Widget,13,1709.26
1065,North,Gizmo,48,3583.78
1066,East,Widget,4,2962.47
1067,South,Widget,33,394.04
1068,South,Widget,39,346.41
1069,South,Gadget,8,3771.06
1070,South,Gizmo,39,235.79
1071,North,Gadget,43,3847.99
1072,East,Gadget,14,3381.66
1073,East,Widget,17,2039.35
1074,East,Gadget,21,4652.19
1075,North,Widget,30,4086.78
1076,North,Widget,35,1487.79
1077,East,Widget,23,4416.23
1078,South,Gadget,19,
1079,East,Gizmo,42,2691.81
1080,East,Gizmo,7,4700.76
1081,South,Gadget,8,3567.67
1082,South,Gadget,19,2450.93
1083,East,Widget,44,3207.77
1084,East,Gizmo,32,1330.49
1085,North,Widget,41,2828.18
1086,East,Widget,1,1734.43
1087,South,Gizmo,17,713.4
1088,West,Gizmo,46,2415.23
1089,North,Widget,5,6149.97
